ISO3,National Unit,Name,Admin Level,Metric,Units,Year,Value
"VNM","Vietnam","Binh Phuoc","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.458
"PER","Peru","Piura","admin1","Incidence Rate","Cases per Thousand",2016,0.000692196180176551
"PER","Peru","Piura","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.000134
"THA","Thailand","Sa Kaeo","admin1","Incidence Rate","Cases per Thousand",2016,0.263366536416308
"THA","Thailand","Sa Kaeo","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.0308
"KEN","Kenya","Embu","admin1","Incidence Rate","Cases per Thousand",2016,37.964253564115396
"KEN","Kenya","Embu","admin1","Mortality Rate","Deaths per 100 Thousand",2016,7.760000000000001
"PRY","Paraguay","Misiones","admin1","Incidence Rate","Cases per Thousand",2016,0
"PRY","Paraguay","Misiones","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"HTI","Haiti","Nord Est","admin1","Incidence Rate","Cases per Thousand",2016,1.5155710243840201
"HTI","Haiti","Nord Est","admin1","Mortality Rate","Deaths per 100 Thousand",2016,1.21
"IDN","Indonesia","Banten","admin1","Incidence Rate","Cases per Thousand",2016,0.0126128818899754
"IDN","Indonesia","Banten","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00483
"VNM","Vietnam","Dong Thap","admin1","Incidence Rate","Cases per Thousand",2016,0.00537367057636613
"VNM","Vietnam","Dong Thap","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00225
"TUR","Turkey","Antalya","admin1","Incidence Rate","Cases per Thousand",2016,0
"TUR","Turkey","Antalya","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"THA","Thailand","Chai Nat","admin1","Incidence Rate","Cases per Thousand",2016,0
"THA","Thailand","Chai Nat","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"COL","Colombia","Magdalena","admin1","Incidence Rate","Cases per Thousand",2016,0.0294739281580849
"COL","Colombia","Magdalena","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00928
"BRA","Brazil","Paraiba","admin1","Incidence Rate","Cases per Thousand",2016,0.000262592542968829
"BRA","Brazil","Paraiba","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.000108
"COL","Colombia","Guainia","admin1","Incidence Rate","Cases per Thousand",2016,30.0056678282885
"COL","Colombia","Guainia","admin1","Mortality Rate","Deaths per 100 Thousand",2016,8.99
"AFG","Afghanistan","Laghman","admin1","Incidence Rate","Cases per Thousand",2016,1.25472822928515
"AFG","Afghanistan","Laghman","admin1","Mortality Rate","Deaths per 100 Thousand",2016,1.95
"ECU","Ecuador","Pastaza","admin1","Incidence Rate","Cases per Thousand",2016,1.62243596051289
"ECU","Ecuador","Pastaza","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.7849999999999999
"AFG","Afghanistan","Nuristan","admin1","Incidence Rate","Cases per Thousand",2016,0.0237642804384805
"AFG","Afghanistan","Nuristan","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.038
"TZA","Tanzania","Morogoro","admin1","Incidence Rate","Cases per Thousand",2016,176.752934123655
"TZA","Tanzania","Morogoro","admin1","Mortality Rate","Deaths per 100 Thousand",2016,37.083999999999996
"TZA","Tanzania","Ruvuma","admin1","Incidence Rate","Cases per Thousand",2016,168.742146338633
"TZA","Tanzania","Ruvuma","admin1","Mortality Rate","Deaths per 100 Thousand",2016,19.848399999999998
"KEN","Kenya","Bungoma","admin1","Incidence Rate","Cases per Thousand",2016,127.59939486938701
